Experiment type,Framework,Start,End,Arguments
TeraSort,Apache Spark,"2016-08-11, 09:41:22","2016-08-11, 09:41:37",partitions=10/15 ; size=1000000
,,"2016-08-11, 09:42:24","2016-08-11, 09:42:38",
,,"2016-08-11, 09:42:58","2016-08-11, 09:43:11",
,,"2016-08-11, 09:43:15","2016-08-11, 09:43:27",
,,"2016-08-11, 09:43:30","2016-08-11, 09:43:42",
,,"2016-08-11, 09:43:46","2016-08-11, 09:43:58",
,,"2016-08-11, 09:44:01","2016-08-11, 09:44:13",
,,"2016-08-11, 09:44:17","2016-08-11, 09:44:29",
,,"2016-08-11, 09:44:33","2016-08-11, 09:44:46",
,,"2016-08-11, 09:44:50","2016-08-11, 09:45:02",
,,"2016-08-11, 09:46:08","2016-08-11, 09:46:35",partitions=10/15 ; size=10000000
,,"2016-08-11, 09:46:39","2016-08-11, 09:47:02",
,,"2016-08-11, 09:47:06","2016-08-11, 09:47:27",
,,"2016-08-11, 09:47:31","2016-08-11, 09:47:54",
,,"2016-08-11, 09:47:58","2016-08-11, 09:48:21",
,,"2016-08-11, 09:48:25","2016-08-11, 09:48:50",
,,"2016-08-11, 09:48:54","2016-08-11, 09:49:16",
,,"2016-08-11, 09:49:20","2016-08-11, 09:49:43",
,,"2016-08-11, 09:49:47","2016-08-11, 09:50:10",
,,"2016-08-11, 09:50:15","2016-08-11, 09:50:37",
,,"2016-08-11, 09:52:20","2016-08-11, 09:54:33",partitions=10/15 ; size=100000000
,,"2016-08-11, 09:54:36","2016-08-11, 09:56:35",
,,"2016-08-11, 09:56:39","2016-08-11, 09:58:26",
,,"2016-08-11, 09:58:30","2016-08-11, 10:00:35",
,,"2016-08-11, 10:00:38","2016-08-11, 10:02:38",
,,"2016-08-11, 10:02:42","2016-08-11, 10:04:23",
,,"2016-08-11, 10:04:26","2016-08-11, 10:06:06",
,,"2016-08-11, 10:06:09","2016-08-11, 10:07:43",
,,"2016-08-11, 10:07:47","2016-08-11, 10:09:26",
,,"2016-08-11, 10:09:30","2016-08-11, 10:11:30",
,,"2016-08-11, 10:13:23","2016-08-11, 10:34:29",partitions=10/15 ; size=1000000000
,,"2016-08-11, 10:34:34","2016-08-11, 10:56:57",
,,"2016-08-11, 10:57:01","2016-08-11, 11:18:26",
,,"2016-08-11, 11:18:30","2016-08-11, 11:38:44",
,,"2016-08-11, 11:38:48","2016-08-11, 11:56:37",
,,"2016-08-11, 11:56:41","2016-08-11, 12:15:29",
,,"2016-08-11, 12:15:33","2016-08-11, 12:39:44",
,,"2016-08-11, 12:39:48","2016-08-11, 13:00:53",
,,"2016-08-11, 13:00:57","2016-08-11, 13:23:30",
,,"2016-08-11, 13:23:34","2016-08-11, 13:45:01",
,Apache Flink,"2016-08-11, 14:08:02","2016-08-11, 14:08:03",partitions=10/15 ; size=1000000
,,"2016-08-11, 14:08:06","2016-08-11, 14:08:07",
,,"2016-08-11, 14:08:10","2016-08-11, 14:08:11",
,,"2016-08-11, 14:08:14","2016-08-11, 14:08:15",
,,"2016-08-11, 14:08:18","2016-08-11, 14:08:19",
,,"2016-08-11, 14:09:34","2016-08-11, 14:09:35",
,,"2016-08-11, 14:09:38","2016-08-11, 14:09:39",
,,"2016-08-11, 14:09:42","2016-08-11, 14:09:43",
,,"2016-08-11, 14:09:46","2016-08-11, 14:09:47",
,,"2016-08-11, 14:09:50","2016-08-11, 14:09:51",
,,"2016-08-11, 14:11:57","2016-08-11, 14:12:03",partitions=10/15 ; size=10000000
,,"2016-08-11, 14:12:06","2016-08-11, 14:12:12",
,,"2016-08-11, 14:12:15","2016-08-11, 14:12:21",
,,"2016-08-11, 14:12:24","2016-08-11, 14:12:31",
,,"2016-08-11, 14:12:34","2016-08-11, 14:12:40",
,,"2016-08-11, 14:10:11","2016-08-11, 14:10:16",
,,"2016-08-11, 14:10:19","2016-08-11, 14:10:25",
,,"2016-08-11, 14:10:28","2016-08-11, 14:10:35",
,,"2016-08-11, 14:10:38","2016-08-11, 14:10:45",
,,"2016-08-11, 14:10:48","2016-08-11, 14:10:55",
,,"2016-08-11, 14:32:19","2016-08-11, 14:33:29",partitions=10/15 ; size=100000000
,,"2016-08-11, 14:33:33","2016-08-11, 14:34:42",
,,"2016-08-11, 14:34:45","2016-08-11, 14:35:56",
,,"2016-08-11, 14:35:59","2016-08-11, 14:37:09",
,,"2016-08-11, 14:37:12","2016-08-11, 14:38:14",
,,"2016-08-11, 14:43:27","2016-08-11, 14:44:30",
,,"2016-08-11, 14:42:17","2016-08-11, 14:43:23",
,,"2016-08-11, 14:41:10","2016-08-11, 14:42:14",
,,"2016-08-11, 14:40:00","2016-08-11, 14:41:07",
,,"2016-08-11, 14:38:50","2016-08-11, 14:39:57",
,,"2016-08-11, 15:03:06","2016-08-11, 15:14:54",partitions=10/15 ; size=1000000000
,,"2016-08-11, 15:14:57","2016-08-11, 15:26:53",
,,"2016-08-11, 15:26:57","2016-08-11, 15:39:02",
,,"2016-08-11, 15:39:06","2016-08-11, 15:51:06",
,,"2016-08-11, 15:51:09","2016-08-11, 16:03:22",
,,"2016-08-11, 16:07:02","2016-08-11, 16:18:31",
,,"2016-08-11, 16:18:36","2016-08-11, 16:30:27",
,,"2016-08-11, 16:30:30","2016-08-11, 16:42:05",
,,"2016-08-11, 16:42:08","2016-08-11, 16:54:14",
,,"2016-08-11, 16:54:17","2016-08-11, 17:06:08",
